Sport_Code,Gender,HS_Participants_2022_23,NCAA_Participants_2022_23,Pct_HS_to_NCAA_Overall,Pct_HS_to_Div1,Pct_HS_to_Div2,Pct_HS_to_Div3
1,0,"537,438","19,213",3.60%,1.00%,1.00%,1.50%
1,1,"373,366","16,668",4.50%,1.40%,1.30%,1.80%
2,0,"240,201","14,787",6.20%,2.10%,1.70%,2.40%
2,1,"197,630","14,621",7.40%,2.90%,1.90%,2.60%
3,0,"1,028,761","77,204",7.50%,3.00%,2.00%,2.50%
4,0,"450,455","27,284",6.10%,1.40%,1.70%,2.90%
4,1,"377,838","29,959",7.90%,2.70%,2.20%,3.00%
5,0,"604,983","31,278",5.20%,1.90%,1.40%,1.90%
5,1,"486,355","31,475",6.50%,2.80%,1.70%,2.00%
6,0,"77,287","2,933",3.80%,0.70%,0.80%,2.30%
6,1,"470,488","18,569",3.90%,1.20%,1.10%,1.60%
7,0,"936,686","69,333",7.40%,2.37%,1.88%,3.08%
7,1,"766,270","51,869",6.77%,2.46%,1.66%,2.70%
8,0,NaN,NaN,NaN,NaN,NaN,NaN
8,1,NaN,NaN,NaN,NaN,NaN,NaN
9,0,NaN,NaN,NaN,NaN,NaN,NaN
10,1,NaN,NaN,NaN,NaN,NaN,NaN
11,1,NaN,NaN,NaN,NaN,NaN,NaN